"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"unf","neu","din",1,1,1,"a"
"fam","sad","tlk",1,1,3,"a"
"unf","ang","din",1,1,5,"a"
"unf","hap","chk",1,1,7,"a"
"fam","sad","din",1,1,9,"a"
"fam","hap","hlp",1,1,11,"a"
"unf","neu","tlk",1,1,13,"a"
"unf","sad","chk",1,1,15,"a"
"unf","ang","tlk",1,1,17,"a"
"fam","hap","din",1,1,19,"a"
"fam","neu","chk",1,1,21,"a"
"unf","hap","din",1,1,23,"a"
"fam","ang","hlp",1,1,25,"a"
"fam","sad","chk",1,1,27,"a"
"unf","neu","hlp",1,1,29,"a"
"fam","hap","tlk",1,1,31,"a"
"unf","sad","hlp",1,1,33,"a"
"fam","ang","chk",1,1,35,"a"
"unf","hap","tlk",1,1,37,"a"
"fam","neu","hlp",1,1,39,"a"
"unf","ang","chk",1,1,41,"a"
"unf","sad","din",1,1,43,"a"
"fam","hap","chk",1,1,45,"a"
"unf","ang","hlp",1,1,47,"a"
"unf","neu","chk",1,1,49,"a"
"fam","sad","hlp",1,1,51,"a"
"fam","neu","tlk",1,1,53,"a"
"unf","hap","hlp",1,1,55,"a"
"fam","ang","din",1,1,57,"a"
"unf","sad","tlk",1,1,59,"a"
"fam","neu","din",1,1,61,"a"
"fam","ang","tlk",1,1,63,"a"
"unf","neu","din",1,1,65,"a"
"unf","neu","din",1,2,1,"b"
"fam","hap","hlp",1,2,3,"b"
"fam","sad","chk",1,2,5,"b"
"unf","ang","hlp",1,2,7,"b"
"fam","neu","chk",1,2,9,"b"
"fam","sad","din",1,2,11,"b"
"unf","hap","tlk",1,2,13,"b"
"unf","neu","hlp",1,2,15,"b"
"fam","ang","din",1,2,17,"b"
"unf","sad","chk",1,2,19,"b"
"fam","neu","din",1,2,21,"b"
"unf","ang","tlk",1,2,23,"b"
"unf","hap","din",1,2,25,"b"
"unf","neu","chk",1,2,27,"b"
"fam","sad","tlk",1,2,29,"b"
"fam","ang","chk",1,2,31,"b"
"unf","hap","hlp",1,2,33,"b"
"fam","neu","tlk",1,2,35,"b"
"unf","sad","din",1,2,37,"b"
"fam","hap","chk",1,2,39,"b"
"unf","sad","tlk",1,2,41,"b"
"unf","ang","chk",1,2,43,"b"
"unf","neu","tlk",1,2,45,"b"
"unf","hap","chk",1,2,47,"b"
"unf","ang","din",1,2,49,"b"
"fam","neu","hlp",1,2,51,"b"
"fam","ang","tlk",1,2,53,"b"
"unf","sad","hlp",1,2,55,"b"
"fam","hap","tlk",1,2,57,"b"
"fam","ang","hlp",1,2,59,"b"
"fam","hap","din",1,2,61,"b"
"fam","sad","hlp",1,2,63,"b"
"unf","neu","din",1,2,65,"b"
"unf","neu","tlk",2,1,1,"a"
"fam","ang","chk",2,1,3,"a"
"fam","sad","din",2,1,5,"a"
"unf","hap","chk",2,1,7,"a"
"fam","neu","tlk",2,1,9,"a"
"unf","sad","hlp",2,1,11,"a"
"fam","ang","tlk",2,1,13,"a"
"fam","hap","din",2,1,15,"a"
"unf","neu","hlp",2,1,17,"a"
"unf","sad","chk",2,1,19,"a"
"unf","ang","tlk",2,1,21,"a"
"fam","neu","chk",2,1,23,"a"
"unf","hap","hlp",2,1,25,"a"
"fam","ang","din",2,1,27,"a"
"fam","sad","hlp",2,1,29,"a"
"unf","neu","chk",2,1,31,"a"
"unf","sad","din",2,1,33,"a"
"fam","hap","hlp",2,1,35,"a"
"unf","ang","chk",2,1,37,"a"
"fam","hap","tlk",2,1,39,"a"
"fam","sad","chk",2,1,41,"a"
"unf","neu","din",2,1,43,"a"
"unf","ang","hlp",2,1,45,"a"
"fam","sad","tlk",2,1,47,"a"
"fam","neu","hlp",2,1,49,"a"
"unf","hap","din",2,1,51,"a"
"unf","sad","tlk",2,1,53,"a"
"fam","ang","hlp",2,1,55,"a"
"unf","hap","tlk",2,1,57,"a"
"fam","neu","din",2,1,59,"a"
"fam","hap","chk",2,1,61,"a"
"unf","ang","din",2,1,63,"a"
"unf","neu","tlk",2,1,65,"a"
"unf","neu","tlk",2,2,1,"b"
"fam","hap","din",2,2,3,"b"
"unf","ang","tlk",2,2,5,"b"
"fam","sad","hlp",2,2,7,"b"
"unf","hap","chk",2,2,9,"b"
"fam","neu","tlk",2,2,11,"b"
"fam","ang","din",2,2,13,"b"
"unf","hap","hlp",2,2,15,"b"
"fam","sad","chk",2,2,17,"b"
"unf","neu","din",2,2,19,"b"
"fam","ang","hlp",2,2,21,"b"
"unf","sad","tlk",2,2,23,"b"
"fam","hap","hlp",2,2,25,"b"
"unf","neu","chk",2,2,27,"b"
"fam","sad","din",2,2,29,"b"
"fam","ang","chk",2,2,31,"b"
"unf","hap","tlk",2,2,33,"b"
"unf","sad","din",2,2,35,"b"
"fam","neu","hlp",2,2,37,"b"
"fam","hap","chk",2,2,39,"b"
"fam","ang","tlk",2,2,41,"b"
"fam","neu","din",2,2,43,"b"
"fam","hap","tlk",2,2,45,"b"
"unf","ang","hlp",2,2,47,"b"
"fam","neu","chk",2,2,49,"b"
"unf","sad","hlp",2,2,51,"b"
"unf","ang","din",2,2,53,"b"
"unf","sad","chk",2,2,55,"b"
"unf","neu","hlp",2,2,57,"b"
"fam","sad","tlk",2,2,59,"b"
"unf","ang","chk",2,2,61,"b"
"unf","hap","din",2,2,63,"b"
"unf","neu","tlk",2,2,65,"b"
"unf","neu","chk",3,1,1,"a"
"fam","ang","tlk",3,1,3,"a"
"fam","sad","chk",3,1,5,"a"
"unf","hap","hlp",3,1,7,"a"
"fam","sad","tlk",3,1,9,"a"
"unf","ang","hlp",3,1,11,"a"
"fam","hap","din",3,1,13,"a"
"unf","ang","chk",3,1,15,"a"
"fam","neu","tlk",3,1,17,"a"
"unf","sad","chk",3,1,19,"a"
"unf","ang","din",3,1,21,"a"
"fam","neu","hlp",3,1,23,"a"
"unf","hap","tlk",3,1,25,"a"
"fam","neu","din",3,1,27,"a"
"fam","ang","chk",3,1,29,"a"
"fam","hap","hlp",3,1,31,"a"
"unf","sad","tlk",3,1,33,"a"
"fam","neu","chk",3,1,35,"a"
"fam","ang","din",3,1,37,"a"
"fam","hap","tlk",3,1,39,"a"
"fam","sad","hlp",3,1,41,"a"
"unf","hap","din",3,1,43,"a"
"unf","neu","tlk",3,1,45,"a"
"unf","sad","din",3,1,47,"a"
"unf","hap","chk",3,1,49,"a"
"fam","ang","hlp",3,1,51,"a"
"fam","sad","din",3,1,53,"a"
"unf","neu","hlp",3,1,55,"a"
"fam","hap","chk",3,1,57,"a"
"unf","ang","tlk",3,1,59,"a"
"unf","neu","din",3,1,61,"a"
"unf","sad","hlp",3,1,63,"a"
"unf","neu","chk",3,1,65,"a"
"unf","neu","chk",3,2,1,"b"
"unf","sad","tlk",3,2,3,"b"
"fam","ang","chk",3,2,5,"b"
"unf","hap","din",3,2,7,"b"
"fam","sad","hlp",3,2,9,"b"
"fam","hap","chk",3,2,11,"b"
"unf","neu","tlk",3,2,13,"b"
"unf","ang","din",3,2,15,"b"
"fam","sad","tlk",3,2,17,"b"
"fam","neu","din",3,2,19,"b"
"fam","hap","tlk",3,2,21,"b"
"unf","ang","hlp",3,2,23,"b"
"fam","hap","din",3,2,25,"b"
"unf","sad","hlp",3,2,27,"b"
"fam","neu","tlk",3,2,29,"b"
"unf","sad","chk",3,2,31,"b"
"fam","ang","hlp",3,2,33,"b"
"fam","neu","chk",3,2,35,"b"
"unf","hap","tlk",3,2,37,"b"
"unf","ang","chk",3,2,39,"b"
"fam","neu","hlp",3,2,41,"b"
"fam","sad","din",3,2,43,"b"
"unf","hap","hlp",3,2,45,"b"
"unf","sad","din",3,2,47,"b"
"fam","ang","tlk",3,2,49,"b"
"unf","hap","chk",3,2,51,"b"
"unf","neu","hlp",3,2,53,"b"
"fam","ang","din",3,2,55,"b"
"fam","sad","chk",3,2,57,"b"
"unf","neu","din",3,2,59,"b"
"fam","hap","hlp",3,2,61,"b"
"unf","ang","tlk",3,2,63,"b"
"unf","neu","chk",3,2,65,"b"
"unf","neu","hlp",4,1,1,"a"
"fam","hap","tlk",4,1,3,"a"
"unf","ang","chk",4,1,5,"a"
"unf","sad","tlk",4,1,7,"a"
"fam","neu","hlp",4,1,9,"a"
"unf","ang","din",4,1,11,"a"
"fam","hap","chk",4,1,13,"a"
"fam","sad","tlk",4,1,15,"a"
"unf","neu","din",4,1,17,"a"
"fam","ang","chk",4,1,19,"a"
"unf","sad","din",4,1,21,"a"
"fam","neu","tlk",4,1,23,"a"
"unf","hap","chk",4,1,25,"a"
"fam","ang","hlp",4,1,27,"a"
"unf","sad","chk",4,1,29,"a"
"fam","hap","hlp",4,1,31,"a"
"unf","neu","tlk",4,1,33,"a"
"fam","sad","din",4,1,35,"a"
"unf","ang","hlp",4,1,37,"a"
"fam","neu","chk",4,1,39,"a"
"fam","sad","hlp",4,1,41,"a"
"unf","hap","tlk",4,1,43,"a"
"unf","neu","chk",4,1,45,"a"
"fam","ang","din",4,1,47,"a"
"unf","hap","hlp",4,1,49,"a"
"fam","sad","chk",4,1,51,"a"
"unf","ang","tlk",4,1,53,"a"
"fam","neu","din",4,1,55,"a"
"unf","sad","hlp",4,1,57,"a"
"unf","hap","din",4,1,59,"a"
"fam","ang","tlk",4,1,61,"a"
"fam","hap","din",4,1,63,"a"
"unf","neu","hlp",4,1,65,"a"
"unf","neu","hlp",4,2,1,"b"
"unf","hap","chk",4,2,3,"b"
"fam","ang","tlk",4,2,5,"b"
"fam","sad","chk",4,2,7,"b"
"fam","ang","din",4,2,9,"b"
"fam","neu","tlk",4,2,11,"b"
"unf","ang","din",4,2,13,"b"
"fam","hap","chk",4,2,15,"b"
"fam","sad","hlp",4,2,17,"b"
"unf","neu","chk",4,2,19,"b"
"unf","sad","din",4,2,21,"b"
"fam","hap","hlp",4,2,23,"b"
"unf","neu","din",4,2,25,"b"
"unf","sad","chk",4,2,27,"b"
"unf","ang","tlk",4,2,29,"b"
"fam","neu","hlp",4,2,31,"b"
"fam","hap","tlk",4,2,33,"b"
"unf","ang","hlp",4,2,35,"b"
"fam","sad","din",4,2,37,"b"
"unf","hap","hlp",4,2,39,"b"
"fam","neu","din",4,2,41,"b"
"fam","ang","hlp",4,2,43,"b"
"unf","hap","tlk",4,2,45,"b"
"unf","sad","hlp",4,2,47,"b"
"fam","neu","chk",4,2,49,"b"
"unf","hap","din",4,2,51,"b"
"fam","ang","chk",4,2,53,"b"
"unf","sad","tlk",4,2,55,"b"
"unf","neu","tlk",4,2,57,"b"
"fam","sad","tlk",4,2,59,"b"
"unf","ang","chk",4,2,61,"b"
"fam","hap","din",4,2,63,"b"
"unf","neu","hlp",4,2,65,"b"